Date,Open,High,Low,Close,Adj Close,Volume,M_Y_Date
11/14/2014,204.100006,204.490005,203.720001,204.240005,187.550232,80417500,11-2014
11/17/2014,203.850006,204.580002,203.649994,204.369995,187.669601,80441000,11-2014
11/18/2014,204.440002,205.919998,204.440002,205.550003,188.753174,76068100,11-2014
11/19/2014,205.309998,205.550003,204.300003,205.220001,188.45015,82373000,11-2014
11/20/2014,204.259995,205.710007,204.179993,205.580002,188.780716,72840300,11-2014
11/21/2014,207.639999,207.839996,205.979996,206.679993,189.790817,142327300,11-2014
11/24/2014,207.169998,207.389999,206.910004,207.259995,190.32341,65880800,11-2014
11/25/2014,207.539993,207.789993,206.800003,207.110001,190.185699,79108300,11-2014
11/26/2014,207.289993,207.759995,207.029999,207.639999,190.672379,62167800,11-2014
11/28/2014,207.490005,207.869995,206.910004,207.199997,190.268356,57890100,11-2014
12/1/2014,206.399994,206.539993,205.380005,205.759995,188.945999,103968400,12-2014
12/2/2014,205.809998,207.339996,205.779999,207.089996,190.167328,74507200,12-2014
12/3/2014,207.300003,208.149994,207.100006,207.889999,190.901978,68952000,12-2014
12/4/2014,207.539993,208.270004,206.699997,207.660004,190.690765,91316600,12-2014
12/5/2014,207.869995,208.470001,207.550003,208,191.002975,91025500,12-2014
12/8/2014,207.520004,208.119995,205.929993,206.610001,189.726563,108588200,12-2014
12/9/2014,204.369995,206.600006,203.910004,206.470001,189.597977,125180100,12-2014
12/10/2014,205.910004,205.979996,202.929993,203.160004,186.558502,159856400,12-2014
12/11/2014,203.880005,206.190002,203.710007,204.190002,187.504318,159012800,12-2014
12/12/2014,202.639999,203.820007,200.850006,200.889999,184.473953,202330200,12-2014
12/15/2014,201.979996,202.529999,198.779999,199.509995,183.206741,189965800,12-2014
12/16/2014,198.580002,202.399994,197.860001,197.910004,181.737488,259543800,12-2014
12/17/2014,198.440002,202.339996,198.289993,201.789993,185.30043,253910100,12-2014
12/18/2014,204.740005,212.970001,203.919998,206.779999,189.882645,257633900,12-2014
12/19/2014,206.429993,207.330002,205.610001,206.520004,190.690521,245084600,12-2014
12/22/2014,206.75,207.470001,206.460007,207.470001,191.567703,148318900,12-2014
12/23/2014,208.169998,208.229996,207.399994,207.75,191.826248,122167900,12-2014
12/24/2014,208.020004,208.339996,207.720001,207.770004,191.844696,42963400,12-2014
12/26/2014,208.309998,208.850006,208.25,208.440002,192.463348,57326700,12-2014
12/29/2014,208.220001,208.970001,208.139999,208.720001,192.721863,79643900,12-2014
12/30/2014,208.210007,208.369995,207.509995,207.600006,191.687714,73540800,12-2014
12/31/2014,207.990005,208.190002,205.389999,205.539993,189.785645,130333800,12-2014
1/2/2015,206.380005,206.880005,204.179993,205.429993,189.684052,121465900,1-2015
1/5/2015,204.169998,204.369995,201.350006,201.720001,186.258423,169632600,1-2015
1/6/2015,202.089996,202.720001,198.860001,199.820007,184.504105,209151400,1-2015
1/7/2015,201.419998,202.720001,200.880005,202.309998,186.803207,125346700,1-2015
1/8/2015,204.009995,206.160004,203.990005,205.899994,190.118027,147217800,1-2015
1/9/2015,206.399994,206.419998,203.509995,204.25,188.594528,150812300,1-2015
1/12/2015,204.410004,204.600006,201.919998,202.649994,187.117142,144396100,1-2015
1/13/2015,204.119995,205.479996,200.509995,202.080002,186.590866,214553300,1-2015
1/14/2015,199.649994,201.100006,198.570007,200.860001,185.464355,192991100,1-2015
1/15/2015,201.630005,202.009995,198.880005,199.020004,183.765396,176613900,1-2015
1/16/2015,198.770004,201.820007,198.550003,201.630005,186.175339,211879600,1-2015
1/20/2015,202.399994,202.720001,200.169998,202.059998,186.572357,129466200,1-2015
1/21/2015,201.5,203.660004,200.940002,203.080002,187.514191,122942700,1-2015
1/22/2015,203.990005,206.259995,202.330002,206.100006,190.302704,174356000,1-2015
1/23/2015,205.789993,206.100006,204.809998,204.970001,189.259323,115637000,1-2015
1/26/2015,204.710007,205.559998,203.850006,205.449997,189.702515,92009700,1-2015
1/27/2015,202.970001,204.119995,201.740005,202.740005,187.200287,134044600,1-2015
1/28/2015,204.169998,204.289993,199.910004,200.139999,184.799545,168514300,1-2015
1/29/2015,200.380005,202.300003,198.679993,201.990005,186.507751,173585400,1-2015
1/30/2015,200.570007,202.169998,199.130005,199.449997,184.162384,197729700,1-2015
2/2/2015,200.050003,202.029999,197.860001,201.919998,186.443115,163107000,2-2015
